,SUBJECT,SESSION,RUN,trial_in_session
3085,1,5,2,85
3095,1,5,2,95
3107,1,5,2,107
3130,1,5,3,130
3133,1,5,3,133
3150,1,5,3,150
3179,1,5,3,179
3211,1,5,4,211
3212,1,5,4,212
3216,1,5,4,216
3217,1,5,4,217
3235,1,5,4,235
3245,1,5,4,245
3257,1,5,5,257
3269,1,5,5,269
3297,1,5,5,297
3301,1,5,5,301
3311,1,5,5,311
3313,1,5,6,313
3332,1,5,6,332
3361,1,5,6,361
3372,1,5,6,372
3374,1,5,6,374
3379,1,5,7,379
3400,1,5,7,400
3479,1,5,8,479
3528,1,5,9,528
3538,1,5,9,538
3553,1,5,9,553
3588,1,5,10,588
3597,1,5,10,597
3601,1,5,10,601
3605,1,5,10,605
3628,1,5,11,628
3633,1,5,11,633
3634,1,5,11,634
3640,1,5,11,640
3655,1,5,11,655
3667,1,5,11,667
3685,1,5,11,685
3700,1,5,12,700
3724,1,5,12,724
3727,1,5,12,727
3755,1,6,1,5
3763,1,6,1,13
3766,1,6,1,16
3771,1,6,1,21
3776,1,6,1,26
3796,1,6,1,46
3797,1,6,1,47
3801,1,6,1,51
3808,1,6,1,58
3811,1,6,1,61
3817,1,6,2,67
3821,1,6,2,71
3822,1,6,2,72
3826,1,6,2,76
3829,1,6,2,79
3853,1,6,2,103
3856,1,6,2,106
3861,1,6,2,111
3863,1,6,2,113
3864,1,6,2,114
3875,1,6,3,125
3876,1,6,3,126
3887,1,6,3,137
3890,1,6,3,140
3903,1,6,3,153
3904,1,6,3,154
3906,1,6,3,156
3925,1,6,3,175
3934,1,6,3,184
3936,1,6,3,186
3960,1,6,4,210
3979,1,6,4,229
3986,1,6,4,236
3987,1,6,4,237
3988,1,6,4,238
3996,1,6,4,246
4002,1,6,5,252
4029,1,6,5,279
4032,1,6,5,282
4044,1,6,5,294
4051,1,6,5,301
4057,1,6,5,307
4060,1,6,5,310
4065,1,6,6,315
4073,1,6,6,323
4074,1,6,6,324
4079,1,6,6,329
4081,1,6,6,331
4083,1,6,6,333
4089,1,6,6,339
4093,1,6,6,343
4107,1,6,6,357
4115,1,6,6,365
4124,1,6,6,374
4170,1,6,7,420
4177,1,6,7,427
4179,1,6,7,429
4185,1,6,7,435
4189,1,6,8,439
4209,1,6,8,459
4214,1,6,8,464
4220,1,6,8,470
4222,1,6,8,472
4248,1,6,8,498
4258,1,6,9,508
4266,1,6,9,516
4280,1,6,9,530
4288,1,6,9,538
4290,1,6,9,540
4307,1,6,9,557
4309,1,6,9,559
4316,1,6,10,566
4324,1,6,10,574
4334,1,6,10,584
4343,1,6,10,593
4347,1,6,10,597
4355,1,6,10,605
4375,1,6,11,625
4391,1,6,11,641
4395,1,6,11,645
4406,1,6,11,656
4422,1,6,11,672
4423,1,6,11,673
4433,1,6,11,683
4471,1,6,12,721
4479,1,6,12,729
4481,1,6,12,731
4500,1,7,1,0
4514,1,7,1,14
4525,1,7,1,25
4532,1,7,1,32
4536,1,7,1,36
4537,1,7,1,37
4542,1,7,1,42
4546,1,7,1,46
4551,1,7,1,51
4559,1,7,1,59
4627,1,7,3,127
4637,1,7,3,137
4640,1,7,3,140
4648,1,7,3,148
4663,1,7,3,163
4675,1,7,3,175
4679,1,7,3,179
4687,1,7,3,187
4692,1,7,4,192
4746,1,7,4,246
4762,1,7,5,262
4767,1,7,5,267
4770,1,7,5,270
4782,1,7,5,282
4783,1,7,5,283
4799,1,7,5,299
4823,1,7,6,323
4824,1,7,6,324
4834,1,7,6,334
4835,1,7,6,335
4853,1,7,6,353
4879,1,7,7,379
4884,1,7,7,384
4894,1,7,7,394
4909,1,7,7,409
4911,1,7,7,411
4923,1,7,7,423
4946,1,7,8,446
4947,1,7,8,447
4951,1,7,8,451
4958,1,7,8,458
4961,1,7,8,461
4964,1,7,8,464
4970,1,7,8,470
4981,1,7,8,481
4997,1,7,8,497
5000,1,7,9,500
5006,1,7,9,506
5024,1,7,9,524
5025,1,7,9,525
5039,1,7,9,539
5052,1,7,9,552
5066,1,7,10,566
5086,1,7,10,586
5088,1,7,10,588
5090,1,7,10,590
5097,1,7,10,597
5120,1,7,10,620
5121,1,7,10,621
5124,1,7,10,624
5129,1,7,11,629
5131,1,7,11,631
5197,1,7,12,697
5229,1,7,12,729
5230,1,7,12,730
5244,1,7,12,744
5247,1,7,12,747
5266,1,8,1,16
5274,1,8,1,24
5276,1,8,1,26
5302,1,8,1,52
5307,1,8,1,57
5335,1,8,2,85
5350,1,8,2,100
5363,1,8,2,113
5373,1,8,2,123
5408,1,8,3,158
5413,1,8,3,163
5437,1,8,3,187
5447,1,8,4,197
5454,1,8,4,204
5457,1,8,4,207
5461,1,8,4,211
5470,1,8,4,220
5477,1,8,4,227
5481,1,8,4,231
5483,1,8,4,233
5487,1,8,4,237
5519,1,8,5,269
5523,1,8,5,273
5527,1,8,5,277
5539,1,8,5,289
5545,1,8,5,295
5551,1,8,5,301
5573,1,8,6,323
5580,1,8,6,330
5590,1,8,6,340
5608,1,8,6,358
5619,1,8,6,369
5628,1,8,7,378
5638,1,8,7,388
5639,1,8,7,389
5641,1,8,7,391
5644,1,8,7,394
5655,1,8,7,405
5661,1,8,7,411
5663,1,8,7,413
5683,1,8,7,433
5735,1,8,8,485
5747,1,8,8,497
5762,1,8,9,512
5780,1,8,9,530
5823,1,8,10,573
5828,1,8,10,578
5841,1,8,10,591
5845,1,8,10,595
5848,1,8,10,598
5857,1,8,10,607
5859,1,8,10,609
5876,1,8,11,626
5916,1,8,11,666
5918,1,8,11,668
5924,1,8,11,674
5931,1,8,11,681
5941,1,8,12,691
5945,1,8,12,695
5954,1,8,12,704
5971,1,8,12,721
5975,1,8,12,725
5986,1,8,12,736
5995,1,8,12,745
6018,1,9,1,18
6033,1,9,1,33
6034,1,9,1,34
6055,1,9,1,55
6063,1,9,2,63
6074,1,9,2,74
6079,1,9,2,79
6088,1,9,2,88
6089,1,9,2,89
6094,1,9,2,94
6104,1,9,2,104
6111,1,9,2,111
6113,1,9,2,113
6122,1,9,2,122
6124,1,9,2,124
6135,1,9,3,135
6169,1,9,3,169
6179,1,9,3,179
6213,1,9,4,213
